distance_km,speed_limit,traffic_delay,hour_of_day,weather_rain,weather_fog,weather_temp,day_0,day_1,day_2,day_3,day_4,day_5,day_6,road_type_city,road_type_highway,road_type_rural,travel_time_minutes
38.07947176588889,100,14.990107311871604,16,0,1,17.87424966239037,0,1,0,0,0,0,0,0,1,0,50.86739314032174
95.1207163345817,120,22.402403175377827,18,0,0,38.6751607620836,0,0,0,1,0,0,0,1,0,0,69.34651687985762
73.46740023932911,60,16.880003419689995,11,1,0,20.977168686663187,0,1,0,0,0,0,0,0,0,1,88.56526010600291
60.26718993550662,40,2.4990774933538917,19,0,0,26.94224410677419,0,0,0,0,0,0,1,0,1,0,87.97863191051893
16.445845403801215,70,5.567407103506662,22,1,0,26.027463138336064,0,0,1,0,0,0,0,0,0,1,25.23731691770948
16.443457513284063,120,6.579845520927574,4,0,0,11.8605526941395,1,0,0,0,0,0,0,0,0,1,11.171328871776586
6.750277604651747,80,7.735927609345347,11,0,0,30.228272150815094,0,0,1,0,0,0,0,1,0,0,11.612662266230194
86.75143843171858,50,16.96210175851513,15,0,1,25.38703959012616,0,0,0,0,0,1,0,0,0,1,123.5486142476745
60.510386162577674,50,15.118973394761804,0,1,0,21.442513503947843,1,0,0,0,0,0,0,0,1,0,89.98812760805768
71.09918520180851,50,6.094801150926267,1,1,0,11.980504481987813,0,1,0,0,0,0,0,0,1,0,88.36129061706966
3.0378649352844422,100,2.0266453036706125,9,0,0,18.790419549601435,0,0,0,0,1,0,0,1,0,0,3.373678579107427
97.02107536403744,80,5.142966134241542,1,0,0,36.522861274179974,0,0,0,0,0,0,1,0,1,0,74.98961402477492
83.41182143924175,30,29.531439378558098,9,0,1,15.211341199224073,1,0,0,0,0,0,0,0,1,0,192.19269069105422
22.02157195714934,80,14.056408493744168,22,0,0,16.580009192548626,0,0,1,0,0,0,0,1,0,0,25.446534972368013
19.00067175350296,30,26.020365141063373,17,1,0,16.158820932093143,0,0,1,0,0,0,0,1,0,0,56.663814520004706
19.15704647548995,50,25.4625740000653,0,0,1,36.724144577705005,0,0,0,0,0,1,0,0,1,0,50.26060859538402
31.119982052994235,60,15.34558672388621,4,0,0,30.999864481549803,0,0,1,0,0,0,0,1,0,0,45.26229434528868
52.950886731591545,60,21.200631253816304,11,0,0,36.455291891644066,0,0,0,0,0,0,1,1,0,0,68.47387256441762
43.76255684556946,120,5.782560312381369,16,0,0,37.412394996305,0,0,0,0,0,0,1,0,1,0,21.52440329719874
29.83168487960615,30,20.651901147807248,18,0,1,37.83902605479669,0,0,0,0,0,1,0,0,1,0,74.09755296861472
61.573436577515565,50,8.171537377898686,17,1,0,24.57146838502134,0,0,1,0,0,0,0,1,0,0,78.99890315575107
14.809892204552142,80,24.961862902624524,12,1,0,24.286715531756887,0,0,0,1,0,0,0,0,0,1,41.69764037472747
29.922320204986598,60,2.5117239932672977,21,0,0,34.867685207703005,0,1,0,0,0,0,0,0,0,1,29.027632704170134
37.269822486075476,30,23.194160186558324,2,0,1,19.9578002245594,0,0,0,0,1,0,0,0,1,0,100.52198978614611
46.150928437486556,120,2.998107197058586,20,0,0,10.666333885597709,0,0,0,0,0,1,0,0,1,0,33.87629248061183
78.73242017790835,80,26.435677106829267,9,0,0,19.946431510459615,0,0,0,1,0,0,0,0,0,1,86.32736933321038
20.767704433677615,50,9.126135544050111,13,1,0,31.49050991216032,0,1,0,0,0,0,0,1,0,0,30.22314794450522
51.909209402947546,40,19.63180094491724,7,0,1,13.708421548362079,0,0,0,0,0,0,1,0,0,1,97.0481525676679
59.64904231734221,50,14.625068358608395,9,0,1,33.54342573696728,0,0,0,0,0,1,0,0,0,1,85.98720166614758
5.598590859279775,100,10.989094357870169,1,1,0,34.46422952338747,1,0,0,0,0,0,0,0,1,0,22.986395599717888
61.146940338242395,50,19.363254995504892,12,0,0,13.027370981030279,0,0,0,1,0,0,0,1,0,0,84.07762667480522
